GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Eml2,3326.458145,-1.405695678,0.084006298,-16.73321779,7.51E-63,1.39E-60
Gm53,105.8872311,4.621885198,0.276369701,16.72355969,8.83E-63,1.62E-60
Itih5,241.3107935,5.939485266,0.358358755,16.57413187,1.07E-61,1.94E-59
Pros1,293.8303792,3.242273389,0.195642801,16.57241348,1.10E-61,1.98E-59
Notch1,162.7677225,5.003925345,0.302993871,16.51493917,2.86E-61,5.09E-59
Rftn1,199.0787457,3.374427647,0.204586541,16.49388873,4.06E-61,7.14E-59
Renbp,133.5156155,5.342609833,0.325036904,16.43693304,1.04E-60,1.81E-58
Ckap2,217.8942886,2.601015297,0.158276397,16.43337444,1.10E-60,1.90E-58
Nol3,3077.053665,-1.840612966,0.112040089,-16.42816416,1.20E-60,2.05E-58
Klhdc7a,164.8718623,5.772551747,0.352622682,16.37033589,3.11E-60,5.27E-58
Ttyh1,252.2169819,2.483271594,0.152062615,16.33058586,5.98E-60,1.00E-57
Ecm1,459.2037993,4.713367072,0.288991091,16.30973141,8.42E-60,1.40E-57
Tbc1d2,148.1836256,3.054017695,0.187981875,16.24634124,2.37E-59,3.89E-57
Podn,191.7633151,5.176079032,0.318631016,16.2447432,2.43E-59,3.96E-57
Itgb5,213.8607726,4.507981272,0.277759582,16.2297957,3.10E-59,5.01E-57
Prx,106.8111285,3.734132907,0.230101159,16.22822294,3.19E-59,5.09E-57
Tnfrsf1a,1157.976752,2.69493184,0.167798804,16.06049495,4.83E-58,7.64E-56
Nebl,908.3428528,-1.212354077,0.075877052,-15.97787539,1.82E-57,2.86E-55
Cox6b2,341.2373931,3.490784592,0.218524991,15.97430376,1.93E-57,3.00E-55
Ccl2,216.3496854,5.455497478,0.342385197,15.93380064,3.69E-57,5.69E-55
Myl9,310.4276308,5.90723657,0.370841026,15.92929628,3.97E-57,6.06E-55
Cxcl1,140.2787577,5.372674505,0.337620731,15.91334301,5.12E-57,7.75E-55
Erbb3,170.2185788,5.605512359,0.352731811,15.89171201,7.23E-57,1.09E-54
Rgs16,135.149952,6.655155526,0.419596295,15.86085389,1.18E-56,1.76E-54
Gulp1,132.1556911,5.415415413,0.342503778,15.81125748,2.60E-56,3.84E-54
